"TOA5","71821","CR1000","71821","CR1000.Std.27.04","CPU:JER_Site5_program_20171030.cr1","4862","Table1","","","","","","","","","","",""
"TIMESTAMP","RECORD","Rain_mm_Tot","T107_2M_Avg","T107_5M_Avg","Albedo_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCo_Avg","CG3DnCo_Avg","Sensit_Tot","SenSec","WS_ms_4.8m_Max","WindDir_D1_WVT","WS_ms_4.8m_Avg","WS_ms_2.4m_Avg","WS_ms_1.4m_Avg","WS_ms_0.7m_Avg","WS_ms_2.4m_Std"
"TS","RN","mm","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Counts/Hz","","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second"
NA,"","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Max","WVc","Avg","Avg","Avg","Avg","Std"
"2017-05-16 10:15:00","11510","0","21.2","20.63","0.2664613","760.8","202.9","344.7","498.2","0","0","8.45","220.7","5.875","5.112","4.45","3.962","0.849"
"2017-05-16 10:16:00","11511","0","21.59","21.01","0.2628133","634.7","168.2","336.4","496.7","0","0","10.7","234.2","8.15","7.225","6.587","5.775","1.732"
"2017-05-16 10:17:00","11512","0","21.53","20.86","0.2668873","763.2","203.7","338.9","503.7","0","0","9.95","242.9","6.825","5.85","5.212","4.575","1.108"
"2017-05-16 10:18:00","11513","0","21.27","20.58","0.2663939","767.9","204.6","339.7","505.7","0","0","9.2","245.9","6.537","5.737","5.287","4.637","0.979"
"2017-05-16 10:19:00","11514","0","21.25","20.47","0.2652677","778.6","206.5","343.7","508.9","0","0","9.95","235.8","6.737","5.925","5.262","4.7","1.313"
"2017-05-16 10:20:00","11515","0","21.71","20.86","0.2645388","788","208.5","348.4","515.2","0","0","9.2","249.4","6.05","4.987","4.4","3.825","1.248"
"2017-05-16 10:21:00","11516","0","21.87","21.01","0.261425","692.1","182.1","343","509.2","0","0","10.7","233.4","8.3","7.287","6.525","5.812","0.871"
"2017-05-16 10:22:00","11517","0","21.74","20.98","0.264829","779.4","206.4","341.3","508.6","0","0","9.95","210.5","8.39","7.387","6.45","5.7","1.106"
"2017-05-16 10:23:00","11518","0","21.91","21.09","0.2639964","768.1","202.8","337.7","509.2","0","0","12.2","233.4","8.75","7.137","6.437","5.925","1.635"
"2017-05-16 10:24:00","11519","0","21.79","20.97","0.2635903","759.2","200.1","335.8","509.5","0","0","10.7","229","8.22","7.2","6.487","5.8","1.214"
"2017-05-16 10:25:00","11520","0","21.88","21.17","0.2642057","759.5","200.7","334.3","507.7","0","0","12.95","232.3","9.86","8.36","7.4","6.45","1.45"
"2017-05-16 10:26:00","11521","0","21.81","21.08","0.2630968","763.9","201","336.6","510.4","0","0","12.2","232.2","7.8","6.825","6.087","5.375","1.812"
"2017-05-16 10:27:00","11522","0","21.75","21.04","0.2448097","393.1","98.8","329.2","497.1","0","0","12.95","231.6","9.67","8.25","7.425","6.687","1.341"
"2017-05-16 10:28:00","11523","0","21.37","20.72","0.2387151","160.4","38.3","323.5","477.6","0","0","12.95","225.7","9.24","7.862","6.862","6.012","1.586"
"2017-05-16 10:29:00","11524","0","20.92","20.39","0.2513474","331.4","85.3","324.2","471.8","0","0","11.45","226.9","8.34","7.462","6.775","6.15","1.295"
