"TOA5","JER_Site3","CR1000","55060","CR1000.Std.25","CPU:JER_Site3_program_20170406.cr1","32691","Table1","","","","","","","","","","",""
"TIMESTAMP","RECORD","Rain_mm_Tot","T107_2M_Avg","T107_5M_Avg","Albedo_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCo_Avg","CG3DnCo_Avg","Sensit_Tot","SenSec","WS_ms_4.8m_Max","WindDir_D1_WVT","WS_ms_4.8m_Avg","WS_ms_2.4m_Avg","WS_ms_1.4m_Avg","WS_ms_0.7m_Avg","WS_ms_2.4m_Std"
"TS","RN","mm","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Counts/Hz","","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second"
NA,"","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Max","WVc","Avg","Avg","Avg","Avg","Std"
"2017-04-28 09:00:00","31542","0","19.82","19.54","0.420326","526.2","221.8","344","438.7","0","0","10.7","232","8.36","7.625","6.837","6.712","1.118"
"2017-04-28 09:01:00","31543","0","19.94","19.59","0.4197857","531.5","223.6","345","441.5","0","0","10.7","235","7.362","6.712","6.175","6.212","0.924"
"2017-04-28 09:02:00","31544","0","20.16","19.8","0.4233615","576.5","244.1","343.5","442.8","0","0","11.45","237","8.45","7.325","6.612","6.45","1.281"
"2017-04-28 09:03:00","31545","0","20.06","19.76","0.4150166","431.2","179.3","338.8","440.1","0","0","10.7","236.8","8.51","7.637","6.825","6.75","0.99"
"2017-04-28 09:04:00","31546","0","19.71","19.36","0.4085952","355.2","146.1","334.8","437.6","0","0","11.45","237.4","8.71","7.9","7.05","6.862","0.957"
"2017-04-28 09:05:00","31547","0","19.65","19.33","0.4076006","316.9","129.6","332.3","434.7","0","0","10.7","230.4","7.762","6.887","6.187","6.075","0.79"
"2017-04-28 09:06:00","31548","0","19.66","19.33","0.4188745","441.8","185.8","330.2","435.1","0","0","10.7","237.6","8.15","7.175","6.55","6.462","1.219"
"2017-04-28 09:07:00","31549","0","19.53","19.21","0.4164376","381.6","159.2","326.1","435.1","0","0","9.95","229.5","7.325","6.725","6.1","5.925","0.961"
"2017-04-28 09:08:00","31550","0","19.88","19.59","0.411865","271.4","112.2","323.3","433.7","0","0","8.45","233.5","6.45","5.787","5.187","5.037","0.923"
"2017-04-28 09:09:00","31551","0","19.8","19.52","0.4203957","356.5","150","320.2","431.2","0","0","11.45","233.2","8.92","8.08","7.312","7.112","1.1"
"2017-04-28 09:10:00","31552","0","19.66","19.38","0.4235991","514.9","218.1","321.3","434.4","0","0","10.7","228.9","8.41","7.512","6.812","6.675","1.109"
"2017-04-28 09:11:00","31553","0","19.85","19.58","0.4238753","552.4","234.2","319.2","436.9","0","0","11.45","231.4","8.91","8.24","7.475","7.3","1.155"
"2017-04-28 09:12:00","31554","0","19.74","19.42","0.4213777","487.4","205.4","315.6","436","0","0","12.95","217.2","8.8","7.9","7.25","6.987","1.086"
"2017-04-28 09:13:00","31555","0","19.62","19.31","0.4209474","504.6","212.5","315.5","436.7","0","0","9.2","212.2","7.675","6.975","6.325","6","1.193"
"2017-04-28 09:14:00","31556","0","19.78","19.49","0.4183687","440.7","184.4","315.1","436.7","0","0","9.95","221.3","7.937","7.362","6.687","6.375","0.923"
