"TOA5","54124","CR1000","54124","CR1000.Std.25","CPU:JER_Site4_program_20170406.cr1","14814","Table1","","","","","","","","","","",""
"TIMESTAMP","RECORD","Rain_mm_Tot","T107_2M_Avg","T107_5M_Avg","Albedo_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCo_Avg","CG3DnCo_Avg","Sensit_Tot","SenSec","WS_ms_4.8m_Max","WindDir_D1_WVT","WS_ms_4.8m_Avg","WS_ms_2.4m_Avg","WS_ms_1.4m_Avg","WS_ms_0.7m_Avg","WS_ms_2.4m_Std"
"TS","RN","mm","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Counts/Hz","","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second"
NA,"","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Max","WVc","Avg","Avg","Avg","Avg","Std"
"2018-03-18 11:00:00","498145","0","13.98","13.53","0.3380327","683","230.9","NaN","423.3","0","0","12.2","214.8","10.06","8.82","7.837","7.4","1.244"
"2018-03-18 11:01:00","498146","0","13.69","13.2","0.3222375","531.9","175.7","NaN","420.2","0","0","12.95","219.2","10.65","9.47","8.45","7.95","1.436"
"2018-03-18 11:02:00","498147","0","13.59","13.19","0.3149611","367.6","121.6","NaN","411.6","0","0","12.2","241.5","9.67","8.67","7.875","7.312","1.18"
"2018-03-18 11:03:00","498148","0","13.48","13.08","0.3168277","366.2","119","NaN","411.4","0","0","12.95","245.9","9.44","7.962","7.125","6.625","1.246"
"2018-03-18 11:04:00","498149","0","13.45","13.01","0.3364547","676.7","227.8","NaN","420","0","0","9.95","228.8","7.6","6.712","5.912","5.537","1.236"
"2018-03-18 11:05:00","498150","0","13.61","13.18","0.3364793","683.5","230","NaN","424.4","0","0","9.95","237.5","7.4","6.637","6.025","5.437","1.036"
"2018-03-18 11:06:00","498151","0","13.95","13.58","0.3366009","680.5","229.1","NaN","424.7","0","0","15.2","242.9","11.07","9.65","8.85","8.14","1.717"
"2018-03-18 11:07:00","498152","0","14.24","13.87","0.3356058","666.3","223.7","NaN","426.1","0","0","12.2","240.6","9.02","7.925","7.125","6.562","1.432"
"2018-03-18 11:08:00","498153","0","14.24","13.82","0.3361485","681.2","229","NaN","426.1","0","0","13.7","236.1","10.25","9.06","8.25","7.625","1.433"
"2018-03-18 11:09:00","498154","0","13.94","13.46","0.3353437","684.9","229.7","151.5","427.2","0","0","11.45","228.3","8.49","7.437","6.637","5.937","1.119"
"2018-03-18 11:10:00","498155","0","14.18","13.75","0.334692","692.2","231.7","-63.06","430.1","0","0","10.7","229.5","7.837","6.8","6.137","5.612","1.298"
"2018-03-18 11:11:00","498156","0","14.48","14.06","0.3352536","702","235.4","NaN","432.1","0","0","11.45","233.4","8.66","7.7","6.912","6.462","0.997"
"2018-03-18 11:12:00","498157","0","14.16","13.59","0.3343878","663.4","222","NaN","428.9","0","0","12.2","229.9","9.67","8.4","7.275","6.612","1.161"
"2018-03-18 11:13:00","498158","0","14.09","13.62","0.3334253","698.3","232.8","NaN","432.2","0","0","11.45","229.3","7.575","6.562","5.837","5.312","1.503"
"2018-03-18 11:14:00","498159","0","14.44","13.85","0.3345239","698.7","233.7","NaN","432.7","0","0","13.7","244.6","10.59","9.06","8.1","7.4","1.996"
