"TOA5","54124","CR1000","54124","CR1000.Std.25","CPU:JER_Site4_program_20170406.cr1","14814","Table1","","","","","","","","","","",""
"TIMESTAMP","RECORD","Rain_mm_Tot","T107_2M_Avg","T107_5M_Avg","Albedo_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCo_Avg","CG3DnCo_Avg","Sensit_Tot","SenSec","WS_ms_4.8m_Max","WindDir_D1_WVT","WS_ms_4.8m_Avg","WS_ms_2.4m_Avg","WS_ms_1.4m_Avg","WS_ms_0.7m_Avg","WS_ms_2.4m_Std"
"TS","RN","mm","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Counts/Hz","","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second"
NA,"","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Max","WVc","Avg","Avg","Avg","Avg","Std"
"2017-05-25 10:00:00","70404","0","28.47","28.07","0.3252914","708.6","230.5","NaN","527.5","0","0","7.7","270.4","5.575","4.787","4.4","3.887","0.93"
"2017-05-25 10:01:00","70405","0","28.72","28.29","0.3252387","676.9","220.1","NaN","525.5","0","0","6.95","280.5","5.787","4.95","4.587","4.05","0.758"
"2017-05-25 10:02:00","70406","0","28.66","28.16","0.3242368","652.2","211.5","NaN","524.5","0","0","9.2","278.7","6.575","5.825","5.337","4.725","0.954"
"2017-05-25 10:03:00","70407","0","28.74","28.31","0.324713","675.7","219.4","NaN","524.9","0","0","9.95","260.9","6.812","5.712","5.187","4.725","1.428"
"2017-05-25 10:04:00","70408","0","29","28.58","0.3241744","697.3","226","NaN","527.5","0","0","7.7","261.8","5.425","4.625","4.275","3.837","0.807"
"2017-05-25 10:05:00","70409","0","29.01","28.47","0.3242833","722.5","234.3","NaN","530.5","0","0","9.95","255.3","6.287","5.137","4.6","4.2","1.489"
"2017-05-25 10:06:00","70410","0","28.7","28.12","0.3240225","747.3","242.2","NaN","530.3","0","0","9.2","266.4","5.962","4.9","4.512","4.138","1.005"
"2017-05-25 10:07:00","70411","0","28.61","28.08","0.3230323","791.6","255.7","NaN","535.2","0","0","6.95","264","5.65","4.975","4.487","4.075","0.596"
"2017-05-25 10:08:00","70412","0","28.96","28.49","0.3222395","775.4","249.9","NaN","537.5","0","0","8.45","263.6","6.5","5.637","5.162","4.612","1.003"
"2017-05-25 10:09:00","70413","0","28.74","28.18","0.3215953","736","236.7","NaN","533.3","0","0","9.95","271.5","6.725","5.725","5.225","4.687","1.162"
"2017-05-25 10:10:00","70414","0","28.57","28.1","0.3223463","854","275.3","NaN","538.2","0","0","8.45","266.9","6.587","5.737","5.262","4.637","0.899"
"2017-05-25 10:11:00","70415","0","28.68","28.17","0.3173937","739.6","234.9","NaN","538.8","0","0","7.7","255.2","5.675","4.587","4.112","3.8","0.927"
"2017-05-25 10:12:00","70416","0","29.13","28.51","0.3160482","667.6","211","NaN","534.7","0","0","9.95","269.1","7.962","6.637","5.987","5.362","1.089"
"2017-05-25 10:13:00","70417","0","28.68","28.09","0.3169187","611.4","193.7","NaN","528.6","0","0","9.95","269.7","7.687","6.975","6.562","5.912","1.069"
"2017-05-25 10:14:00","70418","0","28.69","28.23","0.3205796","642.5","206","NaN","528","0","0","9.95","258.8","7.5","6.387","5.687","5.225","1.109"
