"TOA5","71821","CR1000","71821","CR1000.Std.27.04","CPU:JER_Site5_program_20171030.cr1","4862","Table1","","","","","","","","","","",""
"TIMESTAMP","RECORD","Rain_mm_Tot","T107_2M_Avg","T107_5M_Avg","Albedo_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCo_Avg","CG3DnCo_Avg","Sensit_Tot","SenSec","WS_ms_4.8m_Max","WindDir_D1_WVT","WS_ms_4.8m_Avg","WS_ms_2.4m_Avg","WS_ms_1.4m_Avg","WS_ms_0.7m_Avg","WS_ms_2.4m_Std"
"TS","RN","mm","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Counts/Hz","","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second"
NA,"","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Max","WVc","Avg","Avg","Avg","Avg","Std"
"2018-05-02 14:50:00","265178","0","25.07","24.45","0.2560433","821","211","368.8","537.3","0","0","15.2","215.1","11.2","9.49","8.44","7.562","1.791"
"2018-05-02 14:51:00","265179","0","25.2","24.64","0.2585191","358.3","92.6","356.9","519","0","0","14.45","231.4","10.26","8.66","7.725","6.787","1.609"
"2018-05-02 14:52:00","265180","0","24.71","24.17","0.2580859","362.7","93.6","356.2","510.5","0","0","13.7","235.8","9.35","8.08","7.162","6.387","1.958"
"2018-05-02 14:53:00","265181","0","24.77","24.18","0.2564439","633.3","162.9","363.7","516.4","0","0","13.7","237.2","10.61","9.02","7.975","7.025","1.919"
"2018-05-02 14:54:00","265182","0","24.64","24.04","0.2580756","895","231.1","368.8","527.5","0","0","16.7","237.4","12.45","10.73","9.64","8.49","2.336"
"2018-05-02 14:55:00","265183","0","24.8","24.1","0.2539898","494.5","125.2","362","520.2","0","0","13.7","239.5","11.24","9.49","8.49","7.412","1.7"
"2018-05-02 14:56:00","265184","0","24.71","24.17","0.260751","328.7","85.7","359.5","506","0","0","15.95","243.1","12.54","10.69","9.39","8.16","2.065"
"2018-05-02 14:57:00","265185","0","24.62","24.1","0.2551534","550.4","140.6","367.3","510.3","0","0","15.2","242.3","11.17","9.16","8.22","7.225","1.88"
"2018-05-02 14:58:00","265186","0","24.44","23.82","0.2567261","398.1","102.2","363.9","505.3","0","0","14.45","238","9.85","8.3","7.4","6.512","1.851"
"2018-05-02 14:59:00","265187","0","24.29","23.75","0.2574042","386.7","99.5","363.4","504.3","0","0","12.95","236.9","9.45","7.937","7.05","6.137","1.426"
"2018-05-02 15:00:00","265188","0","24.14","23.58","0.2580929","368.5","95.1","362.1","503.1","0","0","10.7","233.8","7.15","6.175","5.475","4.85","1.666"
"2018-05-02 15:01:00","265189","0","24.42","23.88","0.2586621","352.1","91.1","362.4","505.1","0","0","7.7","232.8","5.725","4.762","4.287","3.75","1.036"
"2018-05-02 15:02:00","265190","0","24.55","24.04","0.2617822","326.2","85.4","359.3","501.8","0","0","9.95","224.1","7.612","6.375","5.725","4.975","1.365"
"2018-05-02 15:03:00","265191","0","24.23","23.69","0.2607109","322.7","84.1","357.5","498","0","0","11.45","230.1","8.15","6.812","5.937","5.275","1.379"
"2018-05-02 15:04:00","265192","0","24.24","23.78","0.2581414","332.6","85.9","358","497.7","0","0","9.2","223.8","7.375","6.175","5.475","4.925","1.255"
