"TOA5","54124","CR1000","54124","CR1000.Std.25","CPU:JER_Site4_program_20170406.cr1","14814","Table1","","","","","","","","","","",""
"TIMESTAMP","RECORD","Rain_mm_Tot","T107_2M_Avg","T107_5M_Avg","Albedo_Avg","CM3Up_Avg","CM3Dn_Avg","CG3UpCo_Avg","CG3DnCo_Avg","Sensit_Tot","SenSec","WS_ms_4.8m_Max","WindDir_D1_WVT","WS_ms_4.8m_Avg","WS_ms_2.4m_Avg","WS_ms_1.4m_Avg","WS_ms_0.7m_Avg","WS_ms_2.4m_Std"
"TS","RN","mm","Deg C","Deg C","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","Counts/Hz","","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second","meters/second"
NA,"","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Smp","Max","WVc","Avg","Avg","Avg","Avg","Std"
"2017-04-27 11:00:00","30144","0","22.93","22.6","0.3268137","765.4","250.2","NaN","478.3","0","0","9.2","236.6","5.512","4.862","4.4","4.062","1.328"
"2017-04-27 11:01:00","30145","0","23.22","22.88","0.3253813","789.2","256.9","NaN","486.7","0","0","9.95","241.6","6.325","5.287","4.8","4.45","1.278"
"2017-04-27 11:02:00","30146","0","23.5","23","0.325794","810","264","NaN","491.2","0","0","10.7","243.5","7.45","6.25","5.5","5.012","1.014"
"2017-04-27 11:03:00","30147","0","23.28","22.72","0.3238339","653.3","211.6","NaN","484.9","0","0","12.95","240.4","9.37","7.762","7.112","6.575","1.405"
"2017-04-27 11:04:00","30148","0","22.96","22.5","0.3247456","808","262.5","NaN","489.7","0","0","10.7","250.7","7.025","5.825","5.3","4.762","1.522"
"2017-04-27 11:05:00","30149","0","23.34","22.94","0.3235207","751.6","243.3","NaN","496","0","0","9.95","239.2","7.037","6.287","5.675","5.325","1.626"
"2017-04-27 11:06:00","30150","0","23.47","22.99","0.3238606","636.6","206.2","NaN","490.5","0","0","9.95","229.5","7.175","6.175","5.4","4.975","1.137"
"2017-04-27 11:07:00","30151","0","23.44","22.92","0.3237253","611.7","198","NaN","488.6","0","0","11.45","227.8","8.04","7.05","6.162","5.712","1.331"
"2017-04-27 11:08:00","30152","0","23.48","23.05","0.3244557","707.5","229.6","NaN","491.2","0","0","9.2","237.9","6.7","5.95","5.4","4.95","1.167"
"2017-04-27 11:09:00","30153","0","23.71","23.32","0.3236567","699.7","226.5","NaN","495.7","0","0","9.95","241.2","7.075","6","5.325","4.9","1.416"
"2017-04-27 11:10:00","30154","0","23.73","23.31","0.3248634","703.3","228.5","NaN","495.4","0","0","9.2","252.7","7.275","6.475","5.8","5.337","0.918"
"2017-04-27 11:11:00","30155","0","23.65","23.28","0.3252224","759.2","246.9","NaN","497.5","0","0","12.2","245.3","8.12","7.062","6.4","5.912","1.467"
"2017-04-27 11:12:00","30156","0","23.77","23.4","0.323875","750.5","243.1","NaN","500.8","0","0","9.2","253","5.912","5.05","4.85","4.45","1.465"
"2017-04-27 11:13:00","30157","0","24.33","23.92","0.324849","755.4","245.4","NaN","503.1","0","0","12.95","233.5","7.912","6.762","6.15","5.637","2.128"
"2017-04-27 11:14:00","30158","0","24.33","23.82","0.3254898","796","259.1","NaN","501.3","0","0","15.95","249.9","11.45","10.01","9","8.16","2.317"
